
MR SINGH:  Oh I – from what I can see I think that is what the – the problem is Mr Chair.  And one seeks to say listen you have the – this schedule is applicable and therefor you can enter into this contract.  That is the email that we refer to.What Mr Hadebe relies on is a schedule that effectively says you require to physically apply for a deviation which in that case you would have do something– submit something to them, consider it and then receive an application for an approval or a non-approval.So in my view I think that is where the issue lies and I think therefor I am saying Mr Chair in order for me to demonstrate what the position was at the time when Eskombelieved it had the requisite standing – let us call it standing to enter into the risk base contract this email provides that context.So that would be for the issue of whether the PFMA was complied with or not before we get to the suspensive contract. 
CHAIRPERSON:  Ja okay. 
ADV VAN DEN HEEVER:  Annexure AS8 attached to the affidavit of yesterday just to make it easy Chairperson. 
CHAIRPERSON:  Mr Seleka.
ADV SELEKA SC:  Yes Chair just before we got there. 
CHAIRPERSON:  Hm. 
ADV SELEKA SC:  What Mr Anoj Singh should explain to you Mr Anoj to the Chairperson is that there was a Practice Note as we read yesterday 2013/2014 of the National Treasury which only allowed for contracting on a fee basis not risk based and Eskom had adopted that Practice Note on their policy for procurement and hence the internal people were saying that you need to obtain Treasury approval if you want to deviate from that policy of ours firstbecause we have adopted that Practice Note of National Treasury.So that is what Mr Hadebe says, that is what Mr Anoj should know. 
MR SINGH:  No but…
ADV SELEKA SC:  That that is the – that is where the turning point is Chair. 
MR SINGH:  Mr Chair. 
CHAIRPERSON:  Okay let me just understand that. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:National Treasury had issued an Instruction Note. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  And it had laid down certain requirements for the appointment of consultants on a fee basis.
ADV SELEKA SC:  Correct Chair. 
CHAIRPERSON:  And then – but they wanted that is Eskom wanted to appoint McKinsey on a risk basis. 
ADV SELEKA SC:  Correct Chair. 
CHAIRPERSON:  So in other words the Instruction Note on a fee basis would not be applicable to a risk basis. 
ADV SELEKA SC:  Yes – yes. 
CHAIRPERSON:  Yes. 
ADV SELEKA SC:  In the sense that the risk base is not catered for in that instruction.
CHAIRPERSON:  Yes. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  Yes, yes.  So – but the Instruction Note from Treasury was understood to deal with the appointments of consultants.
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  And if you were going to – if you wish to appoint consultants not on a fee basis. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:But on some other basis it was understood that nevertheless you must approach National Treasury. 
ADV SELEKA SC:  For approval. 
CHAIRPERSON:  For approval. 
ADV SELEKA SC:  Yes if – because you are deviating froma fee basis appointment. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  You now want to do something else. 
CHAIRPERSON:  Something else ja. 
ADV SELEKA SC:  Outside. 
CHAIRPERSON:  Yes. 
ADV SELEKA SC:  But Eskom had taken a step further.  They had adopted that into their policy. 
CHAIRPERSON:  Yes. 
ADV SELEKA SC:  Yes.
CHAIRPERSON:  Okay so – so in other words your point is the appointment of consultants both in terms of National Treasury Instruction and in terms of Eskom policies was supposed to be on a fee basis. 
ADV SELEKA SC:  Correct Chair.
CHAIRPERSON:  And if you wanted to do something different. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  You needed – if Eskom wanted to do something different namely appoint consultants on a basis other than a fee basis they needed to approach National Treasury. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  For approval to do it that way. 
ADV SELEKA SC:  To deviate yes.
CHAIRPERSON:  To deviate. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  That is – that is the point. 
ADV SELEKA SC:  That is the point Chair and you find that explicitly in the affidavit of Mr Phakamani Hadebe. 
CHAIRPERSON:  Okay. 
ADV SELEKA SC:  And I have just for the record. 
CHAIRPERSON:  And is Mr Singh’s position that his understanding was that the – if Eskom wanted to appoint consultants on a risk basis Eskom did not need to seekapproval for deviation as you understand it? 
ADV SELEKA SC:  Yes that he says they relied on that email. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  For that position.
CHAIRPERSON:  From somebody at National Treasury. 
ADV SELEKA SC:  From somebody at National Treasury. 
CHAIRPERSON:  Oh that is – is that the email he wanted to? 
ADV SELEKA SC:  Correct that is the email he wants to refer the Chairperson to. 
CHAIRPERSON:  Okay.  So far so good in terms of understanding where you stand Mr Singh namely if Eskom wanted to appoint consultants on a basis other than a fee basis was it your understanding that Eskom did not need toobtain approvals from National Treasury? 
MR SINGH:  Mr Chair I think you are summarising it correctly but I just need to add one… 
CHAIRPERSON:  Ja. 
MR SINGH:  Additional point. 
CHAIRPERSON:  Ja. 
MR SINGH:  Mr Chair Mr Seleka and I think Mr Hadebe or Mr Hadebe and Mr Seleka is following their thumb taking a view of convenience to say Practice Note was clear cut and was applicable.  Right.  So in – from what I can understandin the – in the documentation that we currently have now but this was not a clear cut Instruction Note that was black and white and was applicable or not.  There was some ambiguity as to whether it was applicable or not.  Now yesterday when Mr Seleka took us through MrHadebe’s affidavit and maybe we should go there – what is it again? 
ADV SELEKA SC:  Say again.  Eskom Bundle 14. 
MR SINGH:  Yup. 
ADV SELEKA SC:  14(d). 
MR SINGH:  14.   
CHAIRPERSON:  12(d). 
ADV SELEKA SC:  14(d). 
CHAIRPERSON:  Okay. 
ADV SELEKA SC:  Yes Chair.  
MR SINGH:  Oh so sorry.   
ADV SELEKA SC:  14(d). Oh.  She says it is page 1193. 
MR SINGH:  I 00:25:27 – 11 – 1193? 
ADV SELEKA SC:  Ja.  Well I started reading from page 1193 paragraph 78.1. 
MR SINGH:  Yes.  So Mr Chair you will see and the – the paragraph that I would like you to go to is – oh so page. 
CHAIRPERSON:  I am sorry first of all what are we looking for at page 1193? 
MR SINGH:  So that is…
CHAIRPERSON:  That is what you are talking about. 
MR SINGH:  Yes so this is the affidavit I was talking about Mr Chair. 
CHAIRPERSON:  Okay. 
MR SINGH:  But if you – if you move to page 119…
CHAIRPERSON:  And whose affidavit is this? 
MR SINGH:  This is Mr Hadebe’s affidavit Mr Chair. 
CHAIRPERSON:  Okay alright. 
MR SINGH:  If we move to page 1195 you see paragraph 81 there Mr Chair? 
CHAIRPERSON:  Yes. 
MR SINGH:  It says there was a meeting that was called on or about 27 October by Mr Koko. 
CHAIRPERSON:  Ja. 
MR SINGH:  Okay and 81.1 basically deals with the peoplethat were there who are basically Mr Mabelane Chief Procurement Officer, Mr Govender who was the Programme Director on this, Eskom’s then Director Group Capital, two representatives from Vikas – from McKinsey being Vikas and Dr Weiss and 81.2 deals with Mr Laher explaining the hold-up in the conclusion of the Master Services Agreement relating to National Treasury approval which again relates to this matter of the fixed fee versus the risk base fee vis-a-vis the Instruction Note that Mr Seleka speaks to that found its way into the Policy document.81.4 Mr Chair is what is applicable to us.  81.4 
basically states: “Notwithstanding the fact the Mr Koko signed the Instruction Note – I mean signs the Eskom Policy that gave effect to theInstruction Note.” 
He still then in 81.4 states: “Mr Koko stated that his intention was to obtain an external opinion on the matter.” Okay.   “McKinsey also stated that they would provide their own view about whether the remuneration model was in line with National Treasury instructions or not.” Okay.  And Mr Chair from there flows two legal opinions. One was obtained from Advocate Kennedy SC and another one was obtained from a legal firm Mazwai Attorneys.  Okay.The Mazwai Attorney opinion I think was received by – by McKinsey and the Kennedy opinion was received by Eskom.  Okay.So the Eskom opinion from Kennedy – from Advocate Kennedy Mr Chair indicated that he believed at the time that the Instruction Note may have been applicable.  But he also concedes that there is ambiguityas to whether it is applicable or not.So I think he is advise was eventually yes you know engage with National Treasury to understand what the situation is.By that time Mazwai had given an opinion and theycategorically said the – you do not need to get approval.  Okay.  So there was this ambiguity.  So what then happened Mr Chair subsequent to receiving Kennedy’s – Advocate Kennedy’s opinion as well as Mazwai’s opinion there was then in December if you recall Mr Mabelane issued the letter of acceptance to McKinsey and in there Mr Chair he – he actually states the nature of this issue and what Eskom’s position was at the time in issuing this letter of acceptance.And if you want to Mr Chair we can take youthrough it because I think it is important for you to understand the chronology of events in terms of what has transpired on this matter. 
CHAIRPERSON:  Do we have those legal opinions you are talking about in one of the bundles by any chance? 
ADV SELEKA SC:  I do not think we incorporated them in the bundles Chair. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  But I know that they – I think they are annexures or maybe they from the – what is it they call itthe Record Bundle. In that High Court application and we can – we can have them. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  They are available. 
CHAIRPERSON:  Ja.
ADV SELEKA SC:  But just not incorporated in the bundles. 
CHAIRPERSON:  No, no that is fine, okay, alright.  So they can be – one could see them. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  At some stage. 
ADV SELEKA SC:  Yes Chair. 
CHAIRPERSON:  Okay alright.  You – Mr Singh you were – you then wanted to – did you want to refer us to the letter of acceptance?
MR SINGH:  Yes Mr Chair I would have – I would have like to. 
CHAIRPERSON:  Yes. 
MR SINGH:  So maybe actually Mr Chair let us just use Mr Hadebe’s affidavit if we then move to page 1199. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  1199 yes. 
MR SINGH:  Actually Mr Chair… 
CHAIRPERSON:  Does it quote the letter – 00:31:00 it does.
MR SINGH:  Oh. 
CHAIRPERSON:  87.1. 
MR SINGH:  Mr Chair for – for convenience at this stage whatever it is worth paragraph 84 of Mr Hadebe’s affidavit deals with Advocate Paul Kennedy SC’s opinion and thereis a – they quote a relevant extract. 
ADV SELEKA SC:  Ja. 
MR SINGH:  If it – if it is helpful for you Sir. 
CHAIRPERSON:  Ja. 
MR SINGH:  Ja. 
ADV SELEKA SC:  Basically the opinions are conflicting Chair. 
CHAIRPERSON:  Okay. 
ADV SELEKA SC:  Ja because one is for Eskom by one of my colleagues and the other is McKinsey sourcing anopinion from a law firm and they come to a different conclusion. 
CHAIRPERSON:  Okay.  Okay. 
ADV SELEKA SC:  Mr Singh for the purposes of the letter of acceptance that is in Eskom Bundle 14. 
MR SINGH:  I was just going to use – I was just going to use Mr Hadebe’s affidavit. 
ADV SELEKA SC:  Will you use that? 
MR SINGH:  Yes because it is written – it is actually quoted.
ADV SELEKA SC:  Ja.  But I think the Chairperson might want to have sight of the letter. 
CHAIRPERSON:  Ja what is the page? 
ADV SELEKA SC:  Page 811.111 but now Chair that is a different Eskom Bundle.
CHAIRPERSON:  Oh. 
ADV SELEKA SC:  That is C. 
CHAIRPERSON:  Okay for what it is worth let me … 
ADV SELEKA SC:  Ja that is… 
CHAIRPERSON:  Just have the acceptance letter. 
ADV SELEKA SC:  811.111.  And Chair as you look at it we did obtain the one – a copy signed by McKinsey. 
CHAIRPERSON:  Okay.  Okay. 
ADV SELEKA SC:  Yes but the contents are the same. 
CHAIRPERSON:  I am not sure I understand the paragraphin the letter of acceptance. 
ADV SELEKA SC:  Indeed Chair. 
CHAIRPERSON:  That talks about a condition. 
ADV SELEKA SC:  Indeed. 
CHAIRPERSON:  It says: “It is a condition of the acceptance that Eskom considered opinion of the National Treasury instruction will hold throughout the life of the contract.” I do not know what Mr Mabelane was trying to say there.
ADV SELEKA SC:  Yes a senior moment. 
CHAIRPERSON:  And then the next sentence says: “In an unlikely eventuality that the said opinion is conclusively altered the parties hereby agree to review the contractpayment basis to affect the revised opinion.” I cannot make head or tail what he is trying to say. 
MR SINGH:  Mr Chair I also have not – as I said I was not party to this. 
CHAIRPERSON:  Ja. 
MR SINGH:  I know nothing of this all I can say is this is what the position was at the time. 
CHAIRPERSON:  Yes. 
MR SINGH:  So 00:35:34 December based on these twodocuments. 
CHAIRPERSON:  But – but you have got to – how can you say this is what the position was at the time if you do not know what it says the position is? 
MR SINGH:  Well Mr Chair as I said I qualified by saying I was not party to it but if you want me to give you my view I will tell you what existed at the time. 
CHAIRPERSON:  Or what you understood it to be. 
MR SINGH:  Understood it. 
CHAIRPERSON:  Ja tell me what you understood to mean.
MR SINGH:  Well Mr Chair at the time as I said I was not party to it so I did not know what it meant. 
CHAIRPERSON:  Oh okay. 
MR SINGH:  Okay. 
CHAIRPERSON:  Okay well it does not help then.
ADV SELEKA SC:  Ja. 
CHAIRPERSON:  Well I – I – maybe the – maybe he just formulated this paragraph inelegantly but I cannot tell what he is trying to say. 
ADV SELEKA SC:  Ja Chair I am not going to be able to help you because I am equally lost by that paragraph. But as I said yesterday Mr Koko cut a long story short. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  Mr Singh. 
MR SINGH:  But Mr Chair before we go…
CHAIRPERSON:  Hang on Mr Singh let Mr Seleka finish. 
ADV SELEKA SC:  Yes he cut a long story short and I think he appreciated the fact that the conclusion of this agreement required National Treasury approval. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  And he did not have it and he said… 
CHAIRPERSON:  And that was it. 
ADV SELEKA SC:  He said so much here. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  That is was wrong to conclude thisagreement. 
CHAIRPERSON:  Ja. 
ADV SELEKA SC:  Ja.   
MR SINGH:  Who? 
ADV SELEKA SC:  Mr Koko.
MR SINGH:  No that is fine but you asked me for my view so I am giving you my view Sir. 
ADV SELEKA SC:  No I know that but you do not have a view. 
MR SINGH:  No I have a view.  I do not 00:36:41 I have a view.  I am telling you my view.  At the time Mr Chair. 
CHAIRPERSON:  You did not have a view then. 
MR SINGH:  No Sir. 
CHAIRPERSON:  But you have a view now. 
MR SINGH:  Based on the information that I see yes MrChair. 
CHAIRPERSON:  Ja is your view about what this paragraph means or is it something else? 
MR SINGH:  No Mr Chair I am taking you through the relevant information that existed and I am bringing you to a point that was one of the – that is one of the – how can I say?  Pertinent facts that you were need to be aware of that existed at the time in that Mr Mabelane issued this letter with that condition. 
CHAIRPERSON:  What is that ja tell me?
MR SINGH:  Mr Chair the paragraph you just read in the letter of acceptance.  So if we then move on Mr Chair to … 
ADV SELEKA SC:  Wait the Chair does not follow you.  He is referring to the paragraph Chair which is – which you just read which we cannot understand.
CHAIRPERSON:  Ja no I have read that paragraph I do not understand what it means. 
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  I thought that you wanted to tell me what you think it means. 
MR SINGH:  Oh okay.  So Mr Chair I can attempt to tell what I think it means now.  If you look at – if we go back to 83.1 Mr Chair. 
ADV SELEKA SC:  80? 
CHAIRPERSON:  What page?
MR SINGH:  Page 1197. 
CHAIRPERSON:  1197 of? 
MR SINGH:  The same. 
ADV SELEKA SC:  That is Bundle D, that is… 
CHAIRPERSON:  14(d). 
ADV SELEKA SC:  14(d) Chair. 
CHAIRPERSON:  Ja.  That is of Eskom Bundle 14(d). 
MR SINGH:  D. 
CHAIRPERSON:  And page 1197. 
MR SINGH:  Yes.
ADV SELEKA SC:  Yes. 
CHAIRPERSON:  Okay.  Ja. 
MR SINGH:  So we are at paragraph 83 – 83 83.1 
CHAIRPERSON:  Ja.   
MR SINGH:  So there you see Mr Chair on – at paragraph
83 it says: On 3 December Mr Benedict Piri McKinsey’s associate general counsel who is their head of legal I would assume sent an email to Mr Govender of Eskom and 
the correspondent read as follows: In essence they were seeking for Eskom to – appealing to Eskom’s bravery and they also concede that this is a grey area in terms of the applicability of this Instruction Note and this is where I try and – Mr Chair refer the commission to two different instructing documents.So Mr Seleka refers to a Practice Note of 13/2014 Instruction Note 1 am I correct?  And if you then have regard for the – oh sorry I was still explaining why this thing was there. Sorry Chair. So – so McKinsey also understands that this is a grey area Mr Chair.  Now this is after they have obtained the Mazwai opinion.  Okay that says the Instruction Note is now applicable.  Okay. 
CHAIRPERSON:  But let us – let us try and shorten this if we can.  Is your position that you cannot say whether ornot the conclusion of this agreement was legal – was legal or was lawful? 
MR SINGH:  Mr Chair. 
CHAIRPERSON:  Is that correct? 
MR SINGH:  Mr Chair is you give me three minutes ofmaximum. 
CHAIRPERSON:  Ja. 
MR SINGH:  I will – I will try and conclude this matter. 
CHAIRPERSON:  Okay alright. 
MR SINGH:  Okay.  So my first contention Mr Chair is that we are comparing two different Instruction Notes.  2003 Instruction Note 1 which is what Mr Hadebe and Mr Seleka relies on and to an extent now Mr Koko.But if you move to – one second Mr Chair.   If you move to paragraph 90 of – so page 1202.
CHAIRPERSON:  90 you said. 
MR SINGH:  Paragraph 90.2 on page 1202. 
CHAIRPERSON:  I am sorry what paragraph? 
MR SINGH:  90.2. 
CHAIRPERSON:  Okay I have got it. 
MR SINGH:  So you see there Mr Chair it says: “On 4 February 16 Mr 
00:41:30 responded stating that.” 
CHAIRPERSON:  Yes. 
MR SINGH:  It says:“Practice Note 3 of 2003 is still applicable until replaced with a new Instruction after the promulgation of new Treasury regulations. The retainer contingency principles are not clearly outlined in thePractice Note.  If you intend applying them you need to do some further work to ensure that they do not compromise the principles of 217 and other legislation.”Now this is the email I was referring to earlier Mr Chair.  And Mr Chitty Phango [?] Mr Chair albeit that Mr Hadebe basically down plays his capacity is the Chief Director in National Treasury responsible for governance and monitoring? 
CHAIRPERSON:  Well before you proceed you have thequotation in 90.2 what do you understand it to mean? 
MR SINGH:  Mr Chair firstly it tells us that there are two different documents that are actually being used.  Mr Hadebe relies on Practice Note 1 of 2013.  This basically refers to Practice Note 3 of 2003 and it says it is still applicable until replaced with a new instruction after promulgation of the new Treasury regulations. 
CHAIRPERSON:  The Practice Note 3 of 2003 is that the one that said – is that the one relating to the appointment of consultants on a fee basis?
